货件编号	FBA15DKGQ678
名称	E22-210302ZRDE40HQ
计划编号	PLN249TS5F
配送地址	Amazon Fulfillment Center, Carl-Zeiss-Straße 3, Werne, Nordrhein-Westfalen/Arnsberg, DE, 59368
SKU 总数	14
商品总数	2240
shipment-total-cases	2240
装箱单	1/1

卖家 SKU	商品名称	ASIN	FNSKU	外部编号	状况	备货方	预处理类型	贴标方	每个装运箱的商品数量	装运箱数量	已发货
BLK-Pattern-10	PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 10 Würfel	B0774M2CW5	X000RSI9ND	EAN : 6934698333857	新品	"--"	"--"	卖家	1	100	100
BLK-Pattern-12	PREMAG DIY tragbarer Kleiderschrank, modularer Speicher-Organisator, Raumersparnis Armoire, tieferer Würfel mit hängendem Rod 12 Würfel	B0774LY89S	X000RRSMDV	EAN : 6934698333864	新品	"--"	"--"	卖家	1	50	50
BLK-WHT-Pattern-10	PREMAG Portable Garderobe für hängende Kleidung, Kombischrank, modularer Schrank für platzsparende, ideale Aufbewahrung Organizer Cube für Bücher, Spielzeug, Handtücher(10-Würfel)	B077D5SQM8	X000RU2R75	EAN : 6934698333314	新品	"--"	"--"	卖家	1	100	100
BLK-WHT-Pattern-16	PREMAG Kunststoff Kleiderschrank Garderobe für hängende Kleidung, Kombischrank, modularer Schrank für platzsparende, ideale Aufbewahrung Organizer Cube für Bücher, Spielzeug, Handtücher(16-Würfel)	B077D98WGY	X000RU2UK9	EAN : 6934698333338	新品	"--"	"--"	卖家	1	100	100
NSR-WHT2/5	JOISCOPE PREMAG Portable Schuhablage Organizer Tower, weiß, modulare Schrankregal für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 2 * 5	B07DJ4D2XN	X000UXNUF7	EAN : 6934698337626	新品	"--"	"--"	卖家	1	130	130
NSR-WHT3/7	PREMAG Portable Schuhablage Organizer Tower, weiß, modulare Schrankregal für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 3 * 7	B07DJ4F78J	X000UXKRA3	EAN : 6934698337596	新品	"--"	"--"	卖家	1	440	440
NSR-YHBLK2/7	JOISCOPE PREMAG Portable Schuhablage Organizer Tower, Schwarz mit transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 2 * 7	B07DJ3566D	X000UXXJHB	EAN : 6934698337435	新品	"--"	"--"	卖家	1	60	60
NSR-YHBLK3/5	PREMAG Portable Schuhablage Organizer Tower, Schwarz mit Transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 3 * 5	B07DJ5DCQM	X000UXNUFH	EAN : 6934698337428	新品	"--"	"--"	卖家	1	300	300
NSR-YHWHT2/5	JOISCOPE PREMAG Portable Shoe Storage Organizer Tower, Weiß mit transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 2 * 7	B07DJ4TCG6	X000UXXJB7	EAN : 6934698337503	新品	"--"	"--"	卖家	1	330	330
NSR-YHWHT3/7	PREMAG Portable Shoe Storage Organizer Tower, Weiß mit transparenten Türen, Modular Cabinet Regale für platzsparende, Schuhregal Regale für Schuhe, Stiefel, Hausschuhe 3 * 7	B07DJ4CY3V	X000UXXF2Z	EAN : 6934698337473	新品	"--"	"--"	卖家	1	130	130
SR001YH2/4	Premag Schuhschrank, bestehend aus mehreren Modulen, tragbar, platzsparend, ideal für die Aufbewahrung von Schuhen, Stiefeln, Hausschuhen, 2/4	B078X8XFXQ	X000SOB0QT	EAN : 6934698313576	新品	"--"	"--"	卖家	1	50	50
SR001YH2/6	Premag Schuhschrank, bestehend aus mehreren Modulen, tragbar, platzsparend, ideal für die Aufbewahrung von Schuhen, Stiefeln, Hausschuhen, 2/6	B078RTZJJQ	X000SJQTAB	EAN : 6934698313699	新品	"--"	"--"	卖家	1	100	100
SR001YH2/8	JOISCOPE PREMAG Portable Schuhspeicher-Organisator-Turm, modulares Kabinett-Fach für Platzeinsparung, Schuhregal-Regale für Schuhe, Aufladungen, Pantoffel 3 * 5	B078RZ4C2S	X000SJQWJT	EAN : 6934698313682	新品	卖家	气泡膜包装	卖家	1	120	120
SR001YH3/6	Premag Schuhschrank, bestehend aus mehreren Modulen, tragbar, platzsparend, ideal für die Aufbewahrung von Schuhen, Stiefeln, Hausschuhen, 3/6	B078RZN3ZL	X000SJQHDP	EAN : 6934698313675	新品	"--"	"--"	卖家	1	230	230
